x,K_baseline,K_windowed
-4.4399999999999995,5.238972885857e-05,2.529243050873e-06
-4.43,5.476550680798e-05,2.655310174012e-06
-4.42,5.724329730649e-05,2.787406619782e-06
-4.41,5.982720902924e-05,2.925807729287e-06
-4.4,6.252150377482e-05,3.070800774795e-06
-4.39,6.533060163403e-05,3.222685446206e-06
-4.38,6.825908631091e-05,3.381774355983e-06
-4.37,7.131171059938e-05,3.548393563156e-06
-4.36,7.449340201930e-05,3.722883117069e-06
-4.35,7.780926861554e-05,3.905597621560e-06
-4.34,8.126460492378e-05,4.096906820251e-06
-4.33,8.486489810697e-05,4.297196203686e-06
-4.32,8.861583426605e-05,4.506867639050e-06
-4.3100000000000005,9.252330492903e-05,4.726340023244e-06
-4.3,9.659341372218e-05,4.956049960092e-06
-4.29,1.008324832274e-04,5.196452462488e-06
-4.28,1.052470620295e-04,5.448021680343e-06
-4.27,1.098439319584e-04,5.711251655155e-06
-4.26,1.146301155285e-04,5.986657102115e-06
-4.25,1.196128835810e-04,6.274774220644e-06
-4.24,1.247997631334e-04,6.576161534306e-06
-4.23,1.301985454384e-04,6.891400761050e-06
-4.22,1.358172942588e-04,7.221097714785e-06
-4.21,1.416643543608e-04,7.565883239292e-06
-4.2,1.477483602320e-04,7.926414175538e-06
-4.1899999999999995,1.540782450256e-04,8.303374363450e-06
-4.18,1.606632497378e-04,8.697475679273e-06
-4.17,1.675129326213e-04,9.109459109645e-06
-4.16,1.746371788398e-04,9.540095863549e-06
-4.15,1.820462103670e-04,9.990188523364e-06
-4.14,1.897505961363e-04,1.046057223623e-05
-4.13,1.977612624435e-04,1.095211594701e-05
-4.12,2.060895036083e-04,1.146572367413e-05
-4.11,2.147469928983e-04,1.200233582968e-05
-4.1,2.237457937206e-04,1.256293058510e-05
-4.09,2.330983710848e-04,1.314852528386e-05
-4.08,2.428176033416e-04,1.376017790267e-05
-4.07,2.529167942021e-04,1.439898856254e-05
-4.0600000000000005,2.634096850418e-04,1.506610109141e-05
-4.05,2.743104674934e-04,1.576270463976e-05
-4.04,2.856337963331e-04,1.649003535084e-05
-4.03,2.973948026646e-04,1.724937808726e-05
-4.02,3.096091074046e-04,1.804206821546e-05
-4.01,3.222928350744e-04,1.886949344994e-05
-4.0,3.354626279025e-04,1.973309575897e-05
-3.99,3.491356602404e-04,2.063437333351e-05
-3.98,3.633296532973e-04,2.157488262139e-05
-3.9699999999999998,3.780628901974e-04,2.255624042846e-05
-3.96,3.933542313631e-04,2.358012608881e-05
-3.95,4.092231302282e-04,2.464828370596e-05
-3.94,4.256896492858e-04,2.576252446717e-05
-3.9299999999999997,4.427744764727e-04,2.692472903287e-05
-3.92,4.604989418961e-04,2.813685000342e-05
-3.91,4.788850349037e-04,2.940091446539e-05
-3.9,4.979554215033e-04,3.071902661957e-05
-3.8899999999999997,5.177334621324e-04,3.209337049314e-05
-3.88,5.382432297833e-04,3.352621273814e-05
-3.87,5.595095284849e-04,3.501990551890e-05
-3.8600000000000003,5.815579121458e-04,3.657688949067e-05
-3.85,6.044147037596e-04,3.819969687215e-05
-3.84,6.281070149765e-04,3.989095461440e-05
-3.83,6.526627660434e-04,4.165338766878e-05
-3.8200000000000003,6.781107061134e-04,4.348982235662e-05
-3.81,7.044804339294e-04,4.540318984341e-05
-3.8,7.318024188805e-04,4.739652972024e-05
-3.79,7.601080224359e-04,4.947299369543e-05
-3.7800000000000002,7.894295199562e-04,5.163584939929e-05
-3.77,8.198001228831e-04,5.388848430497e-05
-3.76,8.512540013105e-04,5.623440976842e-05
-3.75,8.838263069350e-04,5.867726519071e-05
-3.74,9.175531963897e-04,6.122082230575e-05
-3.73,9.524718549585e-04,6.386898959682e-05
-3.7199999999999998,9.886205206735e-04,6.662581684505e-05
-3.71,1.026038508794e-03,6.949549981335e-05
-3.7,1.064766236668e-03,7.248238506929e-05
-3.69,1.104845248971e-03,7.559097495029e-05
-3.6799999999999997,1.146318243330e-03,7.882593267480e-05
-3.67,1.189229096322e-03,8.219208760324e-05
