xi,Khat
-58.0625,0.46471159634580655
-58.03125,0.4646762660307935
-58.0,0.46464088397790054
-57.96875,0.4646054500888293
-57.9375,0.4645699642650549
-57.90625,0.46453442640782544
-57.875,0.4644988364181614
-57.84375,0.4644631941968552
-57.8125,0.4644274996444704
-57.78125,0.46439175266134103
-57.75,0.4643559531475712
-57.71875,0.4643201010030344
-57.6875,0.4642841961273727
-57.65625,0.46424823841999646
-57.625,0.4642122277800834
-57.59375,0.4641761641065783
-57.5625,0.464140047298192
-57.53125,0.4641038772534011
-57.5,0.46406765387044707
-57.46875,0.4640313770473359
-57.4375,0.4639950466818372
-57.40625,0.46395866267148383
-57.375,0.463922224913571
-57.34375,0.4638857333051558
-57.3125,0.4638491877430565
-57.28125,0.463812588123852
-57.25,0.463775934343881
