xi,Repsi,log_mod_z,resid
-235.0,2.9285314774070463,2.928650617311372,-0.00011913990432566024
-234.75,2.927467017859525,2.9275864116490027,-0.0001193937894776731
-234.5,2.926401423962545,2.9265210724495683,-0.00011964848702339381
-234.25,2.9253346932957247,2.9254545972961568,-0.0001199040004320473
-234.0,2.9242668234309286,2.92438698376412,-0.0001201603331915102
-233.75,2.9231978119322313,2.923318229421041,-0.0001204174888096432
-233.5,2.922127656355887,2.9222483318266987,-0.00012067547081162644
-233.25,2.9210563542502936,2.921177288533036,-0.00012093428274217999
-233.0,2.9199839031559596,2.9201050970841247,-0.00012119392816511976
-232.75,2.9189103006054715,2.919031755016134,-0.00012145441066246931
-232.5,2.9178355441234576,2.9179572598572947,-0.00012171573383712442
-232.25,2.916759631226556,2.916881609127866,-0.00012197790131018849
