eta,R,gamma,g0,Q
0.15,2.0,14.134725141,13.174725141,0.4915599202027598
0.15,2.0,14.134725141,13.201391807666667,0.49153308967910475
0.15,2.0,14.134725141,13.228058474333334,0.491506416108352
0.15,2.0,14.134725141,13.254725141000002,0.49147989827946853
0.15,2.0,14.134725141,13.281391807666667,0.4914535349929705
0.15,2.0,14.134725141,13.308058474333334,0.49142732506079284
0.15,2.0,14.134725141,13.334725141,0.49140126730616046
0.15,2.0,14.134725141,13.361391807666667,0.491375360563461
0.15,2.0,14.134725141,13.388058474333334,0.4913496036781186
0.15,2.0,14.134725141,13.414725141,0.4913239955064714
0.15,2.0,14.134725141,13.441391807666667,0.4912985349156476
0.15,2.0,14.134725141,13.468058474333334,0.491273220783446
0.15,2.0,14.134725141,13.494725141,0.4912480519982159
0.15,2.0,14.134725141,13.521391807666667,0.4912230274587402
0.15,2.0,14.134725141,13.548058474333335,0.4911981460741182
0.15,2.0,14.134725141,13.574725141,0.49117340676365207
0.15,2.0,14.134725141,13.601391807666667,0.49114880845673314
0.15,2.0,14.134725141,13.628058474333335,0.49112435009273003
0.15,2.0,14.134725141,13.654725141,0.4911000306208786
0.15,2.0,14.134725141,13.681391807666667,0.49107584900017265
0.15,2.0,14.134725141,13.708058474333335,0.49105180419925704
0.15,2.0,14.134725141,13.734725141,0.4910278951963209
0.15,2.0,14.134725141,13.761391807666667,0.4910041209789931
0.15,2.0,14.134725141,13.788058474333335,0.49098048054423854
0.15,2.0,14.134725141,13.814725141,0.4909569728982568
0.15,2.0,14.134725141,13.841391807666668,0.49093359705637957
0.15,2.0,14.134725141,13.868058474333335,0.4909103520429729
0.15,2.0,14.134725141,13.894725141,0.4908872368913376
0.15,2.0,14.134725141,13.921391807666668,0.49086425064361255
0.15,2.0,14.134725141,13.948058474333333,0.4908413923506787
0.15,2.0,14.134725141,13.974725141,0.4908186610720644
0.15,2.0,14.134725141,14.001391807666668,0.4907960558758516
0.15,2.0,14.134725141,14.028058474333335,0.49077357583858444
0.15,2.0,14.134725141,14.054725141,0.4907512200451765
0.15,2.0,14.134725141,14.081391807666668,0.49072898758882194
0.15,2.0,14.134725141,14.108058474333333,0.490706877570906
0.15,2.0,14.134725141,14.134725141,0.49068488910091745
0.15,2.0,14.134725141,14.161391807666668,0.49066302129636147
0.15,2.0,14.134725141,14.188058474333335,0.4906412732826742
0.15,2.0,14.134725141,14.214725141,0.490619644193138
0.15,2.0,14.134725141,14.241391807666668,0.49059813316879786
0.15,2.0,14.134725141,14.268058474333333,0.49057673935837887
0.15,2.0,14.134725141,14.294725141,0.4905554619182045
0.15,2.0,14.134725141,14.321391807666668,0.4905343000121163
0.15,2.0,14.134725141,14.348058474333333,0.49051325281139413
0.15,2.0,14.134725141,14.374725141,0.49049231949467764
0.15,2.0,14.134725141,14.401391807666666,0.49047149924788863
0.15,2.0,14.134725141,14.428058474333334,0.49045079126415403
0.15,2.0,14.134725141,14.454725141,0.49043019474373073
0.15,2.0,14.134725141,14.481391807666668,0.49040970889393026
0.15,2.0,14.134725141,14.508058474333334,0.4903893329290453
0.15,2.0,14.134725141,14.534725141000001,0.49036906607027614
0.15,2.0,14.134725141,14.561391807666666,0.4903489075456583
0.15,2.0,14.134725141,14.588058474333334,0.49032885658999265
0.15,2.0,14.134725141,14.614725141000001,0.4903089124447729
0.15,2.0,14.134725141,14.641391807666668,0.4902890743581181
0.15,2.0,14.134725141,14.668058474333334,0.49026934158470165
0.15,2.0,14.134725141,14.694725141000001,0.4902497133856862
0.15,2.0,14.134725141,14.721391807666667,0.49023018902865356
0.15,2.0,14.134725141,14.748058474333334,0.4902107677875404
0.15,2.0,14.134725141,14.774725141000001,0.49019144894257194
0.15,2.0,14.134725141,14.801391807666668,0.4901722317801975
0.15,2.0,14.134725141,14.828058474333334,0.4901531155930264
0.15,2.0,14.134725141,14.854725141000001,0.4901340996797643
0.15,2.0,14.134725141,14.881391807666667,0.49011518334515175
0.15,2.0,14.134725141,14.908058474333334,0.49009636589990146
0.15,2.0,14.134725141,14.934725141000001,0.4900776466606381
0.15,2.0,14.134725141,14.961391807666667,0.4900590249498373
0.15,2.0,14.134725141,14.988058474333334,0.49004050009576644
0.15,2.0,14.134725141,15.014725141000001,0.4900220714324262
0.15,2.0,14.134725141,15.041391807666667,0.4900037382994915
0.15,2.0,14.134725141,15.068058474333334,0.4899855000422549
0.15,2.0,14.134725141,15.094725141000001,0.4899673560115687
0.15,2.0,14.134725141,15.121391807666667,0.4899493055637901
0.15,2.0,14.134725141,15.148058474333334,0.48993134806072486
0.15,2.0,14.134725141,15.174725141,0.4899134828695723
0.15,2.0,14.134725141,15.201391807666667,0.48989570936287186
0.15,2.0,14.134725141,15.228058474333334,0.4898780269184486
0.15,2.0,14.134725141,15.254725141000002,0.48986043491936143
0.15,2.0,14.134725141,15.281391807666667,0.4898429327538488
0.15,2.0,14.134725141,15.308058474333334,0.4898255198152797
0.15,2.0,14.134725141,15.334725141,0.4898081955020997
0.15,2.0,14.134725141,15.361391807666667,0.4897909592177824
0.15,2.0,14.134725141,15.388058474333334,0.48977381037077833
0.15,2.0,14.134725141,15.414725141000002,0.48975674837446637
0.15,2.0,14.134725141,15.441391807666667,0.4897397726471043
0.15,2.0,14.134725141,15.468058474333334,0.48972288261178054
0.15,2.0,14.134725141,15.494725141,0.48970607769636704
0.15,2.0,14.134725141,15.521391807666667,0.4896893573334711
0.15,2.0,14.134725141,15.548058474333335,0.4896727209603896
0.15,2.0,14.134725141,15.574725141000002,0.4896561680190628
0.15,2.0,14.134725141,15.601391807666667,0.48963969795602813
0.15,2.0,14.134725141,15.628058474333335,0.4896233102223758
0.15,2.0,14.134725141,15.654725141,0.48960700427370424
0.15,2.0,14.134725141,15.681391807666667,0.48959077957007474
0.15,2.0,14.134725141,15.708058474333335,0.4895746355759701
0.15,2.0,14.134725141,15.734725141,0.4895585717602498
0.15,2.0,14.134725141,15.761391807666667,0.4895425875961082
0.15,2.0,14.134725141,15.788058474333335,0.4895266825610321
0.15,2.0,14.134725141,15.814725141,0.48951085613675965
0.15,2.0,14.134725141,15.841391807666668,0.4894951078092383
0.15,2.0,14.134725141,15.868058474333335,0.48947943706858493
0.15,2.0,14.134725141,15.894725141,0.48946384340904514
0.15,2.0,14.134725141,15.921391807666668,0.4894483263289539
0.15,2.0,14.134725141,15.948058474333333,0.48943288533069573
0.15,2.0,14.134725141,15.974725141,0.4894175199206659
0.15,2.0,14.134725141,16.001391807666668,0.4894022296092318
0.15,2.0,14.134725141,16.028058474333335,0.4893870139106956
0.15,2.0,14.134725141,16.054725141000002,0.4893718723432556
0.15,2.0,14.134725141,16.081391807666666,0.4893568044289703
0.15,2.0,14.134725141,16.108058474333333,0.48934180969371976
0.15,2.0,14.134725141,16.134725141,0.48932688766717114
0.15,2.0,21.022039639,19.022039639,0.48805789231624286
0.15,2.0,21.022039639,19.048706305666666,0.4880487459349921
0.15,2.0,21.022039639,19.075372972333334,0.48803963730952743
0.15,2.0,21.022039639,19.102039638999997,0.4880305662332183
0.15,2.0,21.022039639,19.128706305666665,0.4880215325008391
