gamma,R,amp,Q
6.0,12.0,0.05,0.006119218468203104
6.0,12.0,0.1,0.003775650642704743
6.0,12.0,0.2,-0.000911485008291978
6.0,12.0,0.3,-0.005598620659288698
6.0,16.0,0.0,0.0063471085733970275
6.0,16.0,0.05,0.004587069101037766
6.0,16.0,0.1,0.002827029628678503
6.0,16.0,0.2,-0.0006930493160400211
6.0,16.0,0.3,-0.004213128260758544
6.0,24.0,0.0,0.004231414896738851
6.0,24.0,0.05,0.0030569257653458174
6.0,24.0,0.1,0.0018824366339527828
6.0,24.0,0.2,-0.0004665416288332857
6.0,24.0,0.3,-0.002815519891619353
6.0,32.0,0.0,0.0031738916769794372
6.0,32.0,0.05,0.0022926358824971117
6.0,32.0,0.1,0.0014113800880147863
6.0,32.0,0.2,-0.0003511315009498645
6.0,32.0,0.3,-0.002113643089914515
8.0,2.0,0.0,0.07050649286976367
8.0,2.0,0.05,0.05774827587484471
8.0,2.0,0.1,0.04499005887992577
8.0,2.0,0.2,0.019473624890087894
8.0,2.0,0.3,-0.006042809099749982
8.0,4.0,0.0,0.0352596971534752
8.0,4.0,0.05,0.028395424451203438
8.0,4.0,0.1,0.021531151748931675
8.0,4.0,0.2,0.007802606344388159
8.0,4.0,0.3,-0.005925939060155359
8.0,8.0,0.0,0.017630655471625675
8.0,8.0,0.05,0.014128705809383867
8.0,8.0,0.1,0.01062675614714206
8.0,8.0,0.2,0.003622856822658448
8.0,8.0,0.3,-0.003381042501825163
8.0,12.0,0.0,0.011753869947294058
8.0,12.0,0.05,0.009410302121795699
8.0,12.0,0.1,0.007066734296297339
8.0,12.0,0.2,0.002379598645300617
8.0,12.0,0.3,-0.0023075370056961034
8.0,16.0,0.0,0.00881542861499883
8.0,16.0,0.05,0.007055389142639569
8.0,16.0,0.1,0.0052953496702803065
8.0,16.0,0.2,0.0017752707255617821
8.0,16.0,0.3,-0.0017448082191567412
8.0,24.0,0.0,0.005876965146625765
8.0,24.0,0.05,0.0047024760152327314
8.0,24.0,0.1,0.0035279868838396975
8.0,24.0,0.2,0.0011790086210536291
8.0,24.0,0.3,-0.0011699696417324388
8.0,32.0,0.0,0.0044081828898826616
8.0,32.0,0.05,0.0035269270954003365
8.0,32.0,0.1,0.0026456713009180106
8.0,32.0,0.2,0.0008831597119533598
8.0,32.0,0.3,-0.0008793518770112906
12.0,2.0,0.0,0.09763666015786339
12.0,2.0,0.05,0.08487844316294443
12.0,2.0,0.1,0.0721202261680255
12.0,2.0,0.2,0.04660379217818763
12.0,2.0,0.3,0.021087358188349746
12.0,4.0,0.0,0.04882265655097949
12.0,4.0,0.05,0.04195838384870774
12.0,4.0,0.1,0.03509411114643597
12.0,4.0,0.2,0.021365565741892453
12.0,4.0,0.3,0.00763702033734894
12.0,8.0,0.0,0.02441186903807019
12.0,8.0,0.05,0.020909919375828378
12.0,8.0,0.1,0.01740796971358657
12.0,8.0,0.2,0.01040407038910296
12.0,8.0,0.3,0.0034001710646193476
12.0,12.0,0.0,0.016274646118163143
12.0,12.0,0.05,0.013931078292664784
12.0,12.0,0.1,0.011587510467166422
12.0,12.0,0.2,0.006900374816169703
12.0,12.0,0.3,0.0022132391651729813
12.0,16.0,0.0,0.01220600211290239
12.0,16.0,0.05,0.010445962640543127
12.0,16.0,0.1,0.008685923168183866
12.0,16.0,0.2,0.005165844223465342
12.0,16.0,0.3,0.001645765278746819
12.0,24.0,0.0,0.00813734347712453
12.0,24.0,0.05,0.006962854345731497
12.0,24.0,0.1,0.005788365214338464
12.0,24.0,0.2,0.003439386951552395
12.0,24.0,0.3,0.0010904086887663274
12.0,32.0,0.0,0.006103640845584144
12.0,32.0,0.05,0.005222385051101818
12.0,32.0,0.1,0.004341129256619492
12.0,32.0,0.2,0.0025786176676548408
12.0,32.0,0.3,0.0008161060786901906
16.0,2.0,0.0,0.11283185475574052
16.0,2.0,0.05,0.10007363776082158
16.0,2.0,0.1,0.08731542076590265
16.0,2.0,0.2,0.06179898677606477
16.0,2.0,0.3,0.03628255278622689
16.0,4.0,0.0,0.056418200734627014
16.0,4.0,0.05,0.04955392803235525
16.0,4.0,0.1,0.042689655330083495
16.0,4.0,0.2,0.028961109925539973
16.0,4.0,0.3,0.015232564520996455
16.0,8.0,0.0,0.028209384478746918
16.0,8.0,0.05,0.02470743481650511
16.0,8.0,0.1,0.021205485154263303
16.0,8.0,0.2,0.014201585829779694
16.0,8.0,0.3,0.007197686505296081
16.0,12.0,0.0,0.018806291392948087
16.0,12.0,0.05,0.016462723567449725
16.0,12.0,0.1,0.014119155741951363
16.0,12.0,0.2,0.009432020090954642
